seqName,samplingDate,days_since_tmrca,PC1,PC2,PC3,PC4,PC5,PC6,PC7,displacement_2pc,displacement_npc
hCoV-19/mink/USA/WI/MP05N-099/2022-09-07,2022-09-07,101,-2.281573047672296,-0.09891918622515992,-1.038174486425569,1.339360981716575,-1.5790708458776774,0.6756686888440098,-0.17952706342391528,3.2095082415784986,4.014202000308765
hCoV-19/mink/USA/WI/MP05N-101/2022-09-07,2022-09-07,101,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
hCoV-19/mink/USA/WI/MP05N-105/2022-09-07,2022-09-07,101,-3.0711479297433324,-0.7380234313030911,0.4509393308392779,0.0128153260242201,0.5435916775414804,0.7714258146471425,0.3383616398974178,4.064904703435426,4.2086463745577385
hCoV-19/mink/USA/WI/MP05N-107/2022-09-07,2022-09-07,101,-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,3.462600635901501,3.6428880014495846
hCoV-19/mink/USA/WI/MP05N-108/2022-09-07,2022-09-07,101,-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,3.462600635901501,3.6428880014495846
hCoV-19/mink/USA/WI/MP05N-109/2022-09-07,2022-09-07,101,-2.834131857795525,-0.7688694906228501,0.029737020141463566,0.33367928116165035,-0.02646061506934487,0.6440066928183895,0.295131206287567,3.8381026536857603,3.9142781586098288
hCoV-19/mink/USA/WI/MP05N-111/2022-09-07,2022-09-07,101,-2.442297811879125,-0.42967957143450003,-0.2514060911370594,0.3534177082191293,-0.13100564530729333,1.0322853678963653,0.14911065306444354,3.3958678405709652,3.5936823140660317
hCoV-19/mink/USA/WI/MP05N-113/2022-09-07,2022-09-07,101,-2.4175386581265492,-0.18268490802887488,-0.4665139481288378,0.23194117778453321,-0.13989593225780284,1.0506534473489344,0.158058915361945,3.3489026856501463,3.5806635055269345
hCoV-19/mink/USA/WI/MP05N-114/2022-09-07,2022-09-07,101,-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,3.462600635901501,3.6428880014495846
hCoV-19/mink/USA/WI/MP05N-119/2022-09-07,2022-09-07,101,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP05N-120/2022-09-07,2022-09-07,101,-1.952144197637684,-0.04094790557462835,-1.021085050005496,0.9299259443058261,-1.195250765894043,0.6098574451334096,0.15845772862678248,2.8788688923065227,3.475732244284175
hCoV-19/mink/USA/WI/MP05N-125/2022-09-07,2022-09-07,101,-3.645439313967556,-0.3923906139466553,-0.036834908688161194,1.2594857805683688,-0.5244425891994149,0.530579654490181,1.666443369888411,4.588581945228068,5.057696801708669
